,code
0,"void swap(CArray *array, int position1, int position2);
CArray *getCArray(int size)
{
    CArray *array = (CArray *)malloc(sizeof(CArray));
    array->array = (int *)malloc(sizeof(int) * size);
    array->size = size;
    int i;
    for (i = 0; i < size; i++)
    {
        array->array[i] = 0;
    }
    return array;
}"
1,"int insertValueCArray(CArray *array, int position, int value)
{
    if (position >= 0 && position < array->size)
    {
        if (array->array[position] == 0)
        {
            array->array[position] = value;
            return SUCCESS;
        }
        else
            return POSITION_INIT;
    }
    return INVALID_POSITION;
}"
2,"int removeValueCArray(CArray *array, int position)
{
    if (position >= 0 && position < array->size)
    {
        if (array->array[position] != 0)
        {
            array->array[position] = 0;
        }
        else
            return POSITION_EMPTY;
    }
    return INVALID_POSITION;
}"
3,"int pushValueCArray(CArray *array, int value)
{
    int i;
    int ok = 0;
    for (i = 0; i < array->size; i++)
    {
        if (array->array[i] == 0)
        {
            array->array[i] = value;
            ok = 1;
            break;
        }
    }
    if (ok == 1)
        return SUCCESS;
    else
        return ARRAY_FULL;
}"
4,"int updateValueCArray(CArray *array, int position, int value)
{
    if (position >= 0 && position < array->size)
    {
        if (array->array[position] != 0)
        {
        }

        else
            return POSITION_NOT_INIT;
    }
    return INVALID_POSITION;
}"
5,"int eraseCArray(CArray *array)
{
    int i;
    for (i = 0; i < array->size; i++)
    {
        array->array[i] = 0;
    }
    return 0;
}"
6,"int switchValuesCArray(CArray *array, int position1, int position2)
{
    if (position1 >= 0 && position1 < array->size && position2 >= 0 &&
        position2 < array->size)
    {
        int temp = array->array[position1];
        array->array[position1] = array->array[position2];
        array->array[position2] = temp;
    }
    return INVALID_POSITION;
}"
7,"int reverseCArray(CArray *array)
{
    int i;
    for (i = 0; i < array->size / 2; i++)
    {
        swap(array, i, array->size - i - 1);
    }
    return SUCCESS;
}"
8,"int displayCArray(CArray *array)
{
    int i;
    printf(""
C ARRAY
"");
    for (i = 0; i < array->size; i++)
    {
        printf(""%d "", array->array[i]);
    }
    printf(""
"");
    return 0;
}"
9,"int blenderCArray(CArray *array)
{
    srand(time(NULL) * array->size);
    int i;
    int total = array->size * 100;
    for (i = 0; i < total; i++)
    {
        swap(array, rand() % array->size, rand() % array->size);
    }
    return 0;
}"
10,"CArray *getCopyCArray(CArray *arr)
{
    CArray *array = (CArray *)malloc(sizeof(CArray));
    array->array = (int *)malloc(sizeof(int) * arr->size);
    array->size = arr->size;
    int i;
    for (i = 0; i < arr->size; i++)
    {
        array->array[i] = arr->array[i];
    }
    return array;
}"
11,"void swap(CArray *array, int position1, int position2)
{
    int temp = array->array[position1];
    array->array[position1] = array->array[position2];
    array->array[position2] = temp;
}"
12,"int bubbleSortCArray(CArray *array)
{
    int i, j;
    for (i = 0; i < array->size - 1; i++)
    {
        for (j = 0; j < array->size - i - 1; j++)
        {
            if (array->array[j] > array->array[j + 1])
            {
                swap(array, j, j + 1);
            }
        }
    }
    return 0;
}"
13,"int selectionSortCArray(CArray *array)
{
    int i, j, min;
    for (i = 0; i < array->size - 1; i++)
    {
        min = i;
        for (j = i + 1; j < array->size; j++)
            if (array->array[j] < array->array[min])
                min = j;
        swap(array, min, i);
    }
    return 0;
}"
14,"int insertionSortCArray(CArray *array)
{
    int i, j, num;
    for (i = 1; i < array->size; i++)
    {
        num = array->array[i];
        j = i - 1;
        while (j >= 0 && array->array[j] > num)
        {
            array->array[j + 1] = array->array[j];
            j--;
        }
        array->array[j + 1] = num;
    }
    return 0;
}"
15,"int valueOcurranceCArray(CArray *array, int value)
{
    int i, total = 0;
    for (i = 0; i < array->size; i++)
    {
        if (array->array[i] == value)
            total++;
    }
    return total;
}"
16,"CArray *valuePositionsCArray(CArray *array, int value)
{
    int i, j = 0;
    int total = valueOcurranceCArray(array, value);
    CArray *resultArray = getCArray(total);
    for (i = 0; i < array->size; i++)
    {
        if (array->array[i] == value)
        {
                        resultArray->array[j] = i;
            j++;
        }
    }
    return resultArray;
}"
17,"int findMinCArray(CArray *array)
{
    int i;
    int min = array->array[0];
    for (i = 1; i < array->size; i++)
    {
        if (array->array[i] < min)
        {
            min = array->array[i];
        }
    }
    return min;
}"
18,"int findMaxCArray(CArray *array)
{
    int i;
    int max = array->array[0];
    for (i = 1; i < array->size; i++)
    {
        if (array->array[i] > max)
        {
            max = array->array[i];
        }
    }
    return max;
}
"
19,"#include <stdio.h>  
  
void  main()  
{  
    int arr[10]; 
    int i;  
       printf(""

Read and Print elements of an array:
"");
       printf(""-----------------------------------------
"");	
  
    printf(""Input 10 elements in the array :
"");  
    for(i=0; i<10; i++)  
    {  
    printf(""element - %d : "",i);
        scanf(""%d"", &arr[i]);  
    }  
  
    printf(""
Elements in array are: "");  
    for(i=0; i<10; i++)  
    {  
        printf(""%d  "", arr[i]);  
    } 
    printf(""
"");	
}
"
20,"#include <stdio.h>

void main()
{
   int i,n,a[100];
   
       printf(""

Read n number of values in an array and display it in reverse order:
"");
       printf(""------------------------------------------------------------------------
"");
   
   printf(""Input the number of elements to store in the array :"");
   scanf(""%d"",&n);
   
   printf(""Input %d number of elements in the array :
"",n);
   for(i=0;i<n;i++)
      {
	  printf(""element - %d : "",i);
	  scanf(""%d"",&a[i]);
	  }
      
   printf(""
The values store into the array are : 
"");
   for(i=0;i<n;i++)
     {
	   printf(""% 5d"",a[i]);
	 }
 
   printf(""

The values store into the array in reverse are :
"");
   for(i=n-1;i>=0;i--)
      {
	   printf(""% 5d"",a[i]);
	  }
   printf(""

"");
} 
"
21,"#include<stdio.h>

int main()
{
    struct emp
    {
        char name[25];
        int age;
        float bs;
    };
    struct emp e;
    e.name = ""Suresh"";
    e.age = 25;
    printf(""%s %d
"", e.name, e.age);
    return 0;
}"
22,"#include<stdio.h>

int main()
{
    printf(""%d %d
"", 32<<1, 32<<0);
    printf(""%d %d
"", 32<<-1, 32<<-0);
    printf(""%d %d
"", 32>>1, 32>>0);
    printf(""%d %d
"", 32>>-1, 32>>-0);
    return 0;"
23,"#include<stdio.h>

int main()
{
    char c=48;
    int i, mask=01;
    for(i=1; i<=5; i++)
    {
        printf(""%c"", c|mask);
        mask = mask<<1;
    }
    return 0;
}"
24,"#include<stdio.h>
int main()
{
    char str[]=""C-program"";
    int a = 5;
    printf(a >10?""Ps
"":""%s
"", str);
    return 0;
}"
25,"#include<stdio.h>
#include<stdlib.h>

union employee
{
    char name[15];
    int age;
    float salary;
};
const union employee e1;

int main()
{
    strcpy(e1.name, ""K"");
    printf(""%s"", e1.name);    
    e1.age=85;
    printf(""%d"", e1.age);
    printf(""%f"", e1.salary);
    return 0;
}"
26,"#include<stdio.h>

int fun(int *f)
{
    *f = 10;
    return 0;
}
int main()
{
    const int arr[5] = {1, 2, 3, 4, 5};
    printf(""Before modification arr[3] = %d"", arr[3]);
    fun(&arr[3]);
    printf(""
After modification arr[3] = %d"", arr[3]);
    return 0;
}"
27,"int main(int ac, char *av[])
{
}"
28,"#include<stdio.h>
int main()
{
    int k, num=30;
    k = (num>5 ? (num <=10 ? 100 : 200): 500);
    printf(""%d
"", num);
    return 0;
}"
29,"#include<stdio.h>

int main()
{
    struct value
    {
        int bit1:1;
        int bit3:4;
        int bit4:4;
    }bit;
    printf(""%d
"", sizeof(bit));
    return 0;
}"
30,"#include<stdio.h>
#include<string.h>

int main()
{
    printf(""%d
"", strlen(""123456""));
    return 0;
}"
